"ID","Grade"
701,"A"
702,"F"
703,"A"
704,"A"
705,"F"
706,"A"
707,"F"
708,"F"
709,"F"
710,"C"
711,"F"
712,"F"
713,"A"
714,"C"
715,"A"
716,"A"
717,"A"
718,"F"
719,"A"
720,"C"
721,"C"
722,"A"
723,"C"
724,"F"
725,"A"
726,"F"
727,"F"
728,"F"
729,"A"
730,"A"
731,"F"
732,"C"
733,"F"
734,"C"
735,"A"
736,"C"
737,"C"
738,"F"
739,"F"
740,"C"
741,"F"
742,"C"
743,"A"
744,"A"
745,"C"
746,"F"
747,"A"
748,"C"
749,"C"
750,"F"
751,"C"
752,"A"
753,"F"
754,"F"
755,"A"
756,"C"
757,"A"
758,"F"
759,"F"
760,"F"
761,"F"
762,"A"
763,"F"
764,"C"
765,"A"
766,"A"
767,"A"
768,"A"
769,"F"
770,"A"
771,"C"
772,"F"
773,"C"
774,"A"
775,"A"
776,"F"
777,"A"
778,"F"
779,"F"
780,"A"
781,"A"
782,"A"
783,"C"
784,"A"
785,"C"
786,"A"
787,"A"
788,"F"
789,"F"
790,"A"
791,"C"
792,"A"
793,"A"
794,"A"
795,"F"
796,"F"
797,"C"
798,"A"
799,"F"
800,"A"
801,"A"
802,"A"
803,"A"
804,"C"
805,"F"
806,"F"
807,"F"
808,"A"
809,"F"
810,"F"
811,"A"
812,"A"
813,"A"
814,"F"
815,"F"
816,"A"
817,"A"
818,"A"
819,"A"
820,"F"
821,"A"
822,"A"
823,"A"
824,"A"
825,"C"
826,"A"
827,"A"
828,"F"
829,"A"
830,"F"
831,"F"
832,"C"
833,"C"
834,"A"
835,"F"
836,"A"
837,"F"
838,"F"
839,"A"
840,"A"
841,"A"
842,"A"
843,"F"
844,"F"
845,"F"
846,"A"
847,"A"
848,"A"
849,"A"
850,"A"
851,"A"
852,"C"
853,"A"
854,"F"
855,"A"
856,"A"
857,"A"
858,"F"
859,"F"
860,"A"
861,"A"
862,"F"
863,"A"
864,"C"
865,"F"
866,"F"
867,"C"
868,"A"
869,"F"
870,"A"
871,"A"
872,"F"
873,"F"
874,"F"
875,"F"
876,"A"
877,"A"
878,"F"
879,"F"
880,"A"
881,"C"
882,"F"
883,"F"
884,"A"
885,"F"
886,"C"
887,"F"
888,"F"
889,"F"
890,"C"
891,"A"
892,"F"
893,"C"
894,"A"
895,"A"
896,"F"
897,"F"
898,"F"
899,"A"
900,"A"
901,"C"
902,"F"
903,"C"
904,"F"
905,"A"
906,"F"
907,"C"
908,"A"
909,"A"
910,"A"
911,"A"
912,"A"
913,"F"
914,"F"
915,"C"
916,"C"
917,"A"
918,"F"
919,"F"
920,"F"
921,"F"
922,"C"
923,"C"
924,"C"
925,"A"
926,"C"
927,"A"
928,"F"
929,"A"
930,"F"
931,"F"
932,"A"
933,"A"
934,"A"
935,"F"
936,"C"
937,"F"
938,"F"
939,"A"
940,"F"
941,"A"
942,"A"
943,"C"
944,"A"
945,"F"
946,"C"
947,"C"
948,"A"
949,"F"
950,"F"
951,"A"
952,"C"
953,"F"
954,"A"
955,"F"
956,"A"
957,"C"
958,"A"
959,"F"
960,"A"
961,"A"
962,"C"
963,"F"
964,"F"
965,"F"
966,"A"
967,"F"
968,"F"
969,"A"
970,"F"
971,"C"
972,"A"
973,"F"
974,"F"
975,"A"
976,"F"
977,"F"
978,"F"
979,"F"
980,"F"
981,"F"
982,"A"
983,"F"
984,"A"
985,"F"
986,"A"
987,"F"
988,"A"
989,"A"
990,"F"
991,"C"
992,"F"
993,"A"
994,"A"
995,"F"
996,"A"
997,"F"
998,"F"
999,"F"
1000,"F"
